Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Segment;Postal Code;Product ID;Sales;Quantity;Discount;Profit
1;CA-2022-152156;08/11/2022;11/11/2022;Second Class;CG-12520;Consumer;42420;FUR-BO-10001798;261.96;2;0;41.9136
2;CA-2022-152156;08/11/2022;11/11/2022;Second Class;CG-12520;Consumer;42420;FUR-CH-10000454;731.94;3;0;219.582
3;CA-2022-138688;12/06/2022;16/06/2022;Second Class;DV-13045;Corporate;90036;OFF-LA-10000240;14.62;2;0;6.8714
4;US-2021-108966;11/10/2021;18/10/2021;Standard Class;SO-20335;Consumer;33311;FUR-TA-10000577;957.5775;5;0.45;-383.031
5;US-2021-108966;11/10/2021;18/10/2021;Standard Class;SO-20335;Consumer;33311;OFF-ST-10000760;22.368;2;0.2;2.5164
6;CA-2020-115812;09/06/2020;14/06/2020;Standard Class;BH-11710;Consumer;90032;FUR-FU-10001487;48.86;7;0;14.1694
7;CA-2020-115812;09/06/2020;14/06/2020;Standard Class;BH-11710;Consumer;90032;OFF-AR-10002833;7.28;4;0;1.9656
8;CA-2020-115812;09/06/2020;14/06/2020;Standard Class;BH-11710;Consumer;90032;TEC-PH-10002275;907.152;6;0.2;90.7152
9;CA-2020-115812;09/06/2020;14/06/2020;Standard Class;BH-11710;Consumer;90032;OFF-BI-10003910;18.504;3;0.2;5.7825
10;CA-2020-115812;09/06/2020;14/06/2020;Standard Class;BH-11710;Consumer;90032;OFF-AP-10002892;114.9;5;0;34.47
11;CA-2020-115812;09/06/2020;14/06/2020;Standard Class;BH-11710;Consumer;90032;FUR-TA-10001539;1706.184;9;0.2;85.3092
12;CA-2020-115812;09/06/2020;14/06/2020;Standard Class;BH-11710;Consumer;90032;TEC-PH-10002033;911.424;4;0.2;68.3568
13;CA-2023-114412;15/04/2023;20/04/2023;Standard Class;AA-10480;Consumer;28027;OFF-PA-10002365;15.552;3;0.2;5.4432
14;CA-2022-161389;05/12/2022;10/12/2022;Standard Class;IM-15070;Consumer;98103;OFF-BI-10003656;407.976;3;0.2;132.5922
15;US-2021-118983;22/11/2021;26/11/2021;Standard Class;HP-14815;Home Office;76106;OFF-AP-10002311;68.81;5;0.8;-123.858
16;US-2021-118983;22/11/2021;26/11/2021;Standard Class;HP-14815;Home Office;76106;OFF-BI-10000756;2.544;3;0.8;-3.816
17;CA-2020-105893;11/11/2020;18/11/2020;Standard Class;PK-19075;Consumer;53711;OFF-ST-10004186;665.88;6;0;13.3176
18;CA-2020-167164;13/05/2020;15/05/2020;Second Class;AG-10270;Consumer;84084;OFF-ST-10000107;55.5;2;0;9.99
19;CA-2020-143336;27/08/2020;01/09/2020;Second Class;ZD-21925;Consumer;94109;OFF-AR-10003056;8.56;2;0;2.4824
20;CA-2020-143336;27/08/2020;01/09/2020;Second Class;ZD-21925;Consumer;94109;TEC-PH-10001949;213.48;3;0.2;16.011
21;CA-2020-143336;27/08/2020;01/09/2020;Second Class;ZD-21925;Consumer;94109;OFF-BI-10002215;22.72;4;0.2;7.384
22;CA-2022-137330;09/12/2022;13/12/2022;Standard Class;KB-16585;Corporate;68025;OFF-AR-10000246;19.46;7;0;5.0596
23;CA-2022-137330;09/12/2022;13/12/2022;Standard Class;KB-16585;Corporate;68025;OFF-AP-10001492;60.34;7;0;15.6884
24;US-2023-156909;16/07/2023;18/07/2023;Second Class;SF-20065;Consumer;19140;FUR-CH-10002774;71.372;2;0.3;-1.0196
25;CA-2021-106320;25/09/2021;30/09/2021;Standard Class;EB-13870;Consumer;84057;FUR-TA-10000577;1044.63;3;0;240.2649
26;CA-2022-121755;16/01/2022;20/01/2022;Second Class;EH-13945;Consumer;90049;OFF-BI-10001634;11.648;2;0.2;4.2224
27;CA-2022-121755;16/01/2022;20/01/2022;Second Class;EH-13945;Consumer;90049;TEC-AC-10003027;90.57;3;0;11.7741
28;US-2021-150630;17/09/2021;21/09/2021;Standard Class;TB-21520;Consumer;19140;FUR-BO-10004834;3083.43;7;0.5;-1665.0522
29;US-2021-150630;17/09/2021;21/09/2021;Standard Class;TB-21520;Consumer;19140;OFF-BI-10000474;9.618;2;0.7;-7.0532
30;US-2021-150630;17/09/2021;21/09/2021;Standard Class;TB-21520;Consumer;19140;FUR-FU-10004848;124.2;3;0.2;15.525
31;US-2021-150630;17/09/2021;21/09/2021;Standard Class;TB-21520;Consumer;19140;OFF-EN-10001509;3.264;2;0.2;1.1016
32;US-2021-150630;17/09/2021;21/09/2021;Standard Class;TB-21520;Consumer;19140;OFF-AR-10004042;86.304;6;0.2;9.7092
33;US-2021-150630;17/09/2021;21/09/2021;Standard Class;TB-21520;Consumer;19140;OFF-BI-10001525;6.858;6;0.7;-5.715
34;US-2021-150630;17/09/2021;21/09/2021;Standard Class;TB-21520;Consumer;19140;OFF-AR-10001683;15.76;2;0.2;3.546
35;CA-2023-107727;19/10/2023;23/10/2023;Second Class;MA-17560;Home Office;77095;OFF-PA-10000249;29.472;3;0.2;9.9468
36;CA-2022-117590;08/12/2022;10/12/2022;First Class;GH-14485;Corporate;75080;TEC-PH-10004977;1097.544;7;0.2;123.4737
37;CA-2022-117590;08/12/2022;10/12/2022;First Class;GH-14485;Corporate;75080;FUR-FU-10003664;190.92;5;0.6;-147.963
38;CA-2021-117415;27/12/2021;31/12/2021;Standard Class;SN-20710;Home Office;77041;OFF-EN-10002986;113.328;9;0.2;35.415
39;CA-2021-117415;27/12/2021;31/12/2021;Standard Class;SN-20710;Home Office;77041;FUR-BO-10002545;532.3992;3;0.32;-46.9764
40;CA-2021-117415;27/12/2021;31/12/2021;Standard Class;SN-20710;Home Office;77041;FUR-CH-10004218;212.058;3;0.3;-15.147
41;CA-2021-117415;27/12/2021;31/12/2021;Standard Class;SN-20710;Home Office;77041;TEC-PH-10000486;371.168;4;0.2;41.7564
42;CA-2023-120999;10/09/2023;15/09/2023;Standard Class;LC-16930;Corporate;60540;TEC-PH-10004093;147.168;4;0.2;16.5564
43;CA-2022-101343;17/07/2022;22/07/2022;Standard Class;RA-19885;Corporate;90049;OFF-ST-10003479;77.88;2;0;3.894
44;CA-2023-139619;19/09/2023;23/09/2023;Standard Class;ES-14080;Corporate;32935;OFF-ST-10003282;95.616;2;0.2;9.5616
45;CA-2022-118255;11/03/2022;13/03/2022;First Class;ON-18715;Corporate;55122;TEC-AC-10000171;45.98;2;0;19.7714
46;CA-2022-118255;11/03/2022;13/03/2022;First Class;ON-18715;Corporate;55122;OFF-BI-10003291;17.46;2;0;8.2062
47;CA-2020-146703;20/10/2020;25/10/2020;Second Class;PO-18865;Consumer;48185;OFF-ST-10001713;211.96;4;0;8.4784
48;CA-2022-169194;20/06/2022;25/06/2022;Standard Class;LH-16900;Consumer;19901;TEC-AC-10002167;45;3;0;4.95
49;CA-2022-169194;20/06/2022;25/06/2022;Standard Class;LH-16900;Consumer;19901;TEC-PH-10003988;21.8;2;0;6.104
50;CA-2021-115742;18/04/2021;22/04/2021;Standard Class;DP-13000;Consumer;47150;OFF-BI-10004410;38.22;6;0;17.9634
51;CA-2021-115742;18/04/2021;22/04/2021;Standard Class;DP-13000;Consumer;47150;OFF-LA-10002762;75.18;6;0;35.3346
52;CA-2021-115742;18/04/2021;22/04/2021;Standard Class;DP-13000;Consumer;47150;FUR-FU-10001706;6.16;2;0;2.9568
53;CA-2021-115742;18/04/2021;22/04/2021;Standard Class;DP-13000;Consumer;47150;FUR-CH-10003061;89.99;1;0;17.0981
54;CA-2022-105816;11/12/2022;17/12/2022;Standard Class;JM-15265;Corporate;10024;OFF-FA-10000304;15.26;7;0;6.2566
55;CA-2022-105816;11/12/2022;17/12/2022;Standard Class;JM-15265;Corporate;10024;TEC-PH-10002447;1029.95;5;0;298.6855
56;CA-2022-111682;17/06/2022;18/06/2022;First Class;TB-21055;Consumer;12180;OFF-ST-10000604;208.56;6;0;52.14
57;CA-2022-111682;17/06/2022;18/06/2022;First Class;TB-21055;Consumer;12180;OFF-PA-10001569;32.4;5;0;15.552
58;CA-2022-111682;17/06/2022;18/06/2022;First Class;TB-21055;Consumer;12180;FUR-CH-10003968;319.41;5;0.1;7.098
59;CA-2022-111682;17/06/2022;18/06/2022;First Class;TB-21055;Consumer;12180;OFF-PA-10000587;14.56;2;0;6.9888
60;CA-2022-111682;17/06/2022;18/06/2022;First Class;TB-21055;Consumer;12180;TEC-AC-10002167;30;2;0;3.3
